Dataset Name,Image Name,Assay Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody],Term Source 2 REF,Term Source 2 Accession,Comment [Antibody],Comment [Probe],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
HDBR_GCG_IHC,11426_15pcw_24_02_Glux19.75.jpg,HuDSeN:1033,"Fetal pancreas 11426, slide 24, section 2",Homo sapiens,NCBITaxon,9606,15PCW,Immunohistochemistry,Glucagon,NCBITaxon,NM_002054,Sigma G2654,,ENSG00000115263,GCG,HDBR_GCG_IHC/11426_15pcw_24_02_Glux19.75.jpg,Original experimental image,Brightfield,,DAB,Islets (stong)
HDBR_GCG_IHC,11426_15pcw_24_02_Glux2.07.jpg,HuDSeN:1033,"Fetal pancreas 11426, slide 24, section 2",Homo sapiens,NCBITaxon,9606,15PCW,Immunohistochemistry,Glucagon,NCBITaxon,NM_002054,Sigma G2654,,ENSG00000115263,GCG,HDBR_GCG_IHC/11426_15pcw_24_02_Glux2.07.jpg,Original experimental image,Brightfield,,DAB,Islets (stong)
HDBR_GFAP_IHC,"11610,9,brain,12pcw,74_GFAP.scn",HuDSeN:1123,"Fetal brain 11610, slide 74",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,GFAP,NCBITaxon,NM_002055,Abcam AB_305808,,ENSG00000131095,GFAP,"HDBR_GFAP_IHC/11610,9,brain,12pcw,74_GFAP.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_GFAP_IHC,Autotest_0000009319_GFAP.scn,HuDSeN:1123,"Fetal brain 2033, slide 154",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,GFAP,NCBITaxon,NM_002055,Abcam AB_305808,,ENSG00000131095,GFAP,HDBR_GFAP_IHC/Autotest_0000009319_GFAP.scn,Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_GPC3_ISH_35S,A231_081_1.jpg,HuDSeN:39,"Embryo A231, slide 81, section 1",Homo sapiens,NCBITaxon,9606,CS19,In situ hybridisation, ,NCBITaxon,NM_004484,,nt 1723 - nt 2285,ENSG00000147257,GPC3,HDBR_GPC3_ISH_35S/A231_081_1.jpg,Original experimental image,Darkfield,,35S,Bone (strong)
HDBR_GPC3_ISH_35S,A231_132.jpg,HuDSeN:39,"Embryo A231, slide 132",Homo sapiens,NCBITaxon,9606,CS19,In situ hybridisation,,NCBITaxon,NM_004484,,nt 1723 - nt 2285,ENSG00000147257,GPC3,HDBR_GPC3_ISH_35S/A231_132.jpg,Original experimental image,Darkfield,,35S,Bone (strong)
HDBR_GPC3_ISH_35S,A231_221_1.jpg,HuDSeN:39,"Embryo A231, slide 221, section 1",Homo sapiens,NCBITaxon,9606,CS19,In situ hybridisation,,NCBITaxon,NM_004484,,nt 1723 - nt 2285,ENSG00000147257,GPC3,HDBR_GPC3_ISH_35S/A231_221_1.jpg,Original experimental image,Darkfield,,35S,Bone (strong)
HDBR_GPC3_ISH_35S,A231_248_1.jpg,HuDSeN:39,"Embryo A231, slide 248, section 1",Homo sapiens,NCBITaxon,9606,CS19,In situ hybridisation,,NCBITaxon,NM_004484,,nt 1723 - nt 2285,ENSG00000147257,GPC3,HDBR_GPC3_ISH_35S/A231_248_1.jpg,Original experimental image,Darkfield,,35S,Bone (strong)
HDBR_INS_IHC,11426_15pcw_22_02_INSx19.75.jpg,HuDSeN:1029,"Fetal pancreas 11426, slide 22, section 2",Homo sapiens,NCBITaxon,9606,15PCW,Immunohistochemistry,Insulin,NCBITaxon,NM_000207,Sigma HPA004932,,ENSG00000254647,INS,HDBR_INS_IHC/11426_15pcw_22_02_INSx19.75.jpg,Original experimental image,Brightfield,,DAB,Islets (stong)
HDBR_INS_IHC,11426_15pcw_22_02_INSx2.07.jpg,HuDSeN:1029,"Fetal pancreas 11426, slide 22, section 2",Homo sapiens,NCBITaxon,9606,15PCW,Immunohistochemistry,Insulin,NCBITaxon,NM_000207,Sigma HPA004932,,ENSG00000254647,INS,HDBR_INS_IHC/11426_15pcw_22_02_INSx2.07.jpg,Original experimental image,Brightfield,,DAB,Islets (stong)
