Dataset Name,Image Name,Assay Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody],Term Source 2 REF,Term Source 2 Accession,Comment [Antibody],Comment [Probe],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
HDBR_PAX7_IHC,"11523,12,Brain SL4,12pcw,24_2016-08-09 15_07_18.scn",HuDSeN:1074,"Fetal brain 11523, slide 24",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/11523,12,Brain SL4,12pcw,24_2016-08-09 15_07_18.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,16,Hind Brain,10pcw,01_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, hindbrain, slide 1",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,16,Hind Brain,10pcw,01_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,16,Hind Brain,10pcw,30_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, hindbrain, slide 30",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,16,Hind Brain,10pcw,30_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,16,Hind Brain,10pcw,40_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, hindbrain, slide 40",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,16,Hind Brain,10pcw,40_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,4,fb,10pcw,181_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, forebrain, slide 181",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,4,fb,10pcw,181_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,4,fb,10pcw,30_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, forebrain, slide 30",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,4,fb,10pcw,30_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,4,fb,10pcw,49_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, forebrain, slide 49",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,4,fb,10pcw,49_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,4,fb,10pcw,52_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, forebrain, slide 52",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,4,fb,10pcw,52_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,4,fb,10pcw,80_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, forebrain, slide 80",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,4,fb,10pcw,80_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"12721,4,fb,10pcw,90_PAX7.svs",HuDSeN:1074,"Fetal brain 12721, forebrain, slide 90",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/12721,4,fb,10pcw,90_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,047_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 047",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,047_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,067_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 067",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,067_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,089_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 089",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,089_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,155_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 155",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,155_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,177_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 177",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,177_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,222_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 222",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,222_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,247_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 247",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,247_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,267_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 267",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,267_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX7_IHC,"1293,1,Embryo,CS20,312_PAX7.svs",HuDSeN:712,"Embryo 1293, slide 312",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,PAX7,NCBITaxon,NM_002584,Developmental Studies Hybridoma Bank PAX7,,ENSG00000009709,PAX7,"HDBR_PAX7_IHC/1293,1,Embryo,CS20,312_PAX7.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
