Dataset Name,Image Name,Assay Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody],Antibody Identifier,Comment [Antibody],Comment [Probe],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
PAX6-CS15,CS15_IHC_transverse/CS15_N733_64.jpg,HUDSEN:755,"Embryo 733, slide 64",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N733_64.jpg,Original experimental image,Brightfield,,DAB,"Eye, diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N733_65.jpg,HUDSEN:755,"Embryo 733, slide 65",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N733_65.jpg,Original experimental image,Brightfield,,DAB,"Eye, diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N733_70.jpg,HUDSEN:755,"Embryo 733, slide 70",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N733_70.jpg,Original experimental image,Brightfield,,DAB,"Diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N733_73.jpg,HUDSEN:755,"Embryo 733, slide 73",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N733_73.jpg,Original experimental image,Brightfield,,DAB,"Diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N733_75.jpg,HUDSEN:755,"Embryo 733, slide 75",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N733_75.jpg,Original experimental image,Brightfield,,DAB,"Diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N734_50.jpg,HUDSEN:755,"Embryo 734, slide 50",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N734_50.jpg,Original experimental image,Brightfield,,DAB,"Eye, diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N734_55.jpg,HUDSEN:755,"Embryo 734, slide 65",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N734_55.jpg,Original experimental image,Brightfield,,DAB,"Diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N734_60.jpg,HUDSEN:755,"Embryo 734, slide 60",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N734_60.jpg,Original experimental image,Brightfield,,DAB,"Diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N734_65.jpg,HUDSEN:755,"Embryo 734, slide 65",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N734_65.jpg,Original experimental image,Brightfield,,DAB,"Diencephalon, telencephalon & spinal cord (strong)"
PAX6-CS15,CS15_IHC_transverse/CS15_N734_70.jpg,HUDSEN:755,"Embryo 734, slide 70",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N734_70.jpg,Original experimental image,Brightfield,,DAB,Telencephalon & spinal cord (strong). Liver (possible)
PAX6-CS15,CS15_IHC_transverse/CS15_N734_75.jpg,HUDSEN:755,"Embryo 734, slide 75",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/CS15_N734_75.jpg,Original experimental image,Brightfield,,DAB,Telencephalon & spinal cord (strong). Liver (possible)
PAX6-CS15,CS15_IHC_transverse/3DView.jpg,HUDSEN:755,3D View,Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,PAX6,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,HDBR_PAX6/CS15_IHC_transverse/3DView.jpg,3D view of data mapped into a CS15 model, ,"Red = strong expression,  green = possible expression.", ,
